title,retention_time_sec,mz,intensity
MS_BA_18,443.961,414.266581,69.0
MS_BA_18,443.961,417.124763,74.0
MS_BA_18,443.961,421.084743,282.0
MS_BA_18,443.961,422.083344,1507.0
MS_BA_18,443.961,423.081193,372.0
MS_BA_18,443.961,424.080882,110.0
MS_BA_18,443.961,427.246581,84.0
MS_BA_18,443.961,429.269003,64.0
MS_BA_18,443.961,438.052702,144.0
MS_BA_18,443.961,449.361131,70.0
MS_BA_18,443.961,820.177224,74.0
MS_BA_18,443.961,821.186271,168.0
MS_BA_18,443.961,822.187068,77.0
MS_BA_18,444.462,173.079978,147.0
MS_BA_18,444.462,301.151213,77.0
MS_BA_18,444.462,312.105813,154.0
MS_BA_18,444.462,313.238287,65.0
MS_BA_18,444.462,315.082359,92.0
MS_BA_18,444.462,352.085426,65.0
MS_BA_18,444.462,374.086131,148.0
MS_BA_18,444.462,379.097571,77.0
MS_BA_18,444.462,380.095194,212.0
MS_BA_18,444.462,381.094611,72.0
MS_BA_18,444.462,393.301875,254.0
MS_BA_18,444.462,394.303112,71.0
MS_BA_18,444.462,400.098801,214.0
MS_BA_18,444.462,406.325734,90.0
MS_BA_18,444.462,413.265049,268.0
MS_BA_18,444.462,414.264364,78.0
MS_BA_18,444.462,421.084134,295.0
MS_BA_18,444.462,422.083191,1381.0
MS_BA_18,444.462,423.082007,325.0
MS_BA_18,444.462,424.086285,100.0
MS_BA_18,444.462,427.247501,81.0
MS_BA_18,444.462,438.051251,148.0
MS_BA_18,444.462,449.360081,77.0
MS_BA_18,444.462,820.183674,75.0
MS_BA_18,444.462,821.187477,139.0
MS_BA_18,444.462,822.185009,83.0
MS_BA_18,444.963,173.079514,118.0
MS_BA_18,444.963,312.106491,137.0
MS_BA_18,444.963,313.236206,67.0
MS_BA_18,444.963,315.084006,79.0
MS_BA_18,444.963,352.079366,65.0
MS_BA_18,444.963,374.085987,143.0
MS_BA_18,444.963,379.095547,71.0
MS_BA_18,444.963,380.093601,203.0
MS_BA_18,444.963,393.299912,280.0
MS_BA_18,444.963,394.303506,64.0
MS_BA_18,444.963,400.099098,247.0
MS_BA_18,444.963,406.328827,100.0
MS_BA_18,444.963,413.266206,233.0
MS_BA_18,444.963,414.269351,75.0
MS_BA_18,444.963,421.084489,298.0
MS_BA_18,444.963,422.082073,1396.0
MS_BA_18,444.963,423.079207,313.0
MS_BA_18,444.963,424.084042,108.0
MS_BA_18,444.963,427.249394,75.0
MS_BA_18,444.963,438.049542,123.0
MS_BA_18,444.963,449.362862,70.0
MS_BA_18,444.963,821.186626,123.0
MS_BA_18,444.963,822.178267,77.0
MS_BA_18,445.464,173.081484,113.0
MS_BA_18,445.464,301.149044,70.0
MS_BA_18,445.464,312.107694,136.0
MS_BA_18,445.464,313.237389,70.0
MS_BA_18,445.464,315.085368,74.0
MS_BA_18,445.464,374.086083,116.0
MS_BA_18,445.464,379.099836,76.0
MS_BA_18,445.464,380.090368,192.0
MS_BA_18,445.464,393.297359,247.0
MS_BA_18,445.464,394.302277,70.0
MS_BA_18,445.464,400.099098,206.0
MS_BA_18,445.464,406.329126,132.0
MS_BA_18,445.464,413.26515,233.0
MS_BA_18,445.464,414.269855,77.0
MS_BA_18,445.464,421.084692,336.0
MS_BA_18,445.464,422.081564,1340.0
MS_BA_18,445.464,423.08104,289.0
MS_BA_18,445.464,424.083227,106.0
MS_BA_18,445.464,427.254766,66.0
MS_BA_18,445.464,438.048195,132.0
MS_BA_18,445.464,821.189037,104.0
MS_BA_18,445.464,822.18139,76.0
MS_BA_18,445.964,173.081956,108.0
MS_BA_18,445.964,301.158923,68.0
MS_BA_18,445.964,312.105048,118.0
MS_BA_18,445.964,315.08036,102.0
MS_BA_18,445.964,374.086849,94.0
MS_BA_18,445.964,379.096896,65.0
MS_BA_18,445.964,380.091478,165.0
MS_BA_18,445.964,381.089247,85.0
MS_BA_18,445.964,393.300746,295.0
MS_BA_18,445.964,394.302818,64.0
MS_BA_18,445.964,400.097168,189.0
MS_BA_18,445.964,406.331621,152.0
MS_BA_18,445.964,413.263791,219.0
MS_BA_18,445.964,414.271669,64.0
MS_BA_18,445.964,421.084438,340.0
MS_BA_18,445.964,422.081462,1354.0
MS_BA_18,445.964,423.081549,262.0
MS_BA_18,445.964,424.083227,102.0
MS_BA_18,445.964,427.256966,69.0
MS_BA_18,445.964,438.047263,109.0
MS_BA_18,445.964,820.182115,70.0
MS_BA_18,445.964,821.180101,87.0
MS_BA_18,445.964,822.181745,71.0
MS_BA_18,446.465,173.081842,87.0
MS_BA_18,446.465,312.105376,126.0
MS_BA_18,446.465,313.2366,70.0
MS_BA_18,446.465,315.079064,83.0
MS_BA_18,446.465,374.085125,89.0
MS_BA_18,446.465,380.090851,183.0
MS_BA_18,446.465,381.09147,92.0
MS_BA_18,446.465,393.299274,284.0
MS_BA_18,446.465,394.303702,65.0
MS_BA_18,446.465,400.098059,157.0
MS_BA_18,446.465,406.334215,124.0
MS_BA_18,446.465,413.267213,244.0
MS_BA_18,446.465,421.08388,313.0
MS_BA_18,446.465,422.080954,1343.0
MS_BA_18,446.465,423.082109,253.0
MS_BA_18,446.465,424.081698,102.0
MS_BA_18,446.465,438.049905,98.0
MS_BA_18,446.465,820.187785,86.0
MS_BA_18,446.465,821.182157,84.0
MS_BA_18,446.966,173.082998,84.0
MS_BA_18,446.966,312.104939,116.0
MS_BA_18,446.966,315.075,80.0
MS_BA_18,446.966,374.080721,77.0
MS_BA_18,446.966,380.095821,192.0
MS_BA_18,446.966,381.089682,69.0
MS_BA_18,446.966,393.300844,293.0
MS_BA_18,446.966,394.303604,70.0
MS_BA_18,446.966,400.09791,175.0
MS_BA_18,446.966,406.335063,143.0
MS_BA_18,446.966,413.266659,243.0
MS_BA_18,446.966,421.084083,343.0
MS_BA_18,446.966,422.080445,1411.0
MS_BA_18,446.966,423.083585,214.0
MS_BA_18,446.966,424.079047,90.0
MS_BA_18,446.966,438.049905,105.0
MS_BA_18,446.966,820.189699,72.0
MS_BA_18,446.966,821.17627,72.0
MS_BA_18,447.467,173.082957,100.0
MS_BA_18,447.467,312.107016,118.0
MS_BA_18,447.467,315.073923,107.0
MS_BA_18,447.467,380.095531,190.0
MS_BA_18,447.467,393.299912,247.0
MS_BA_18,447.467,400.098851,164.0
MS_BA_18,447.467,406.334016,135.0
MS_BA_18,447.467,413.267213,242.0
MS_BA_18,447.467,421.084845,277.0
MS_BA_18,447.467,422.080344,1399.0
MS_BA_18,447.467,423.083636,237.0
MS_BA_18,447.467,424.079914,78.0
MS_BA_18,447.467,438.046848,90.0
MS_BA_18,447.467,820.186439,65.0
MS_BA_18,447.467,821.171022,77.0
MS_BA_18,447.968,173.084773,85.0
MS_BA_18,447.968,312.105617,125.0
MS_BA_18,447.968,315.077043,87.0
MS_BA_18,447.968,380.093119,191.0
MS_BA_18,447.968,393.299765,254.0
MS_BA_18,447.968,400.098455,153.0
MS_BA_18,447.968,406.332669,146.0
MS_BA_18,447.968,413.268118,233.0
MS_BA_18,447.968,421.085911,300.0
MS_BA_18,447.968,422.079988,1317.0
MS_BA_18,447.968,423.087404,204.0
MS_BA_18,447.968,424.083278,74.0
MS_BA_18,447.968,438.049853,84.0
MS_BA_18,447.968,821.170667,66.0
MS_BA_18,448.468,173.083543,86.0
